ref,word,num,dep,label,dep2,label2
22d.002,I,1,,,,
22d.002,don't,2,,,,
22d.002,think,3,,,,
22d.002,we,4,,,,
22d.002,have,5,,,,
22d.002,a,6,,,,
22d.002,extension,7,,,,
22d.002,cord,8,,,,
22d.002,over,9,,,,
22d.002,"here,",10,,,,
22d.002,I´ll,11,,,,
22d.002,look.,12,,,,
22d.003,kooxnihbiinei'eet,1,,,,
22d.003,six,2,,,,
22d.003,of,3,,,,
22d.003,these.,4,,,,
22d.005,You,1,,,,
22d.005,know,2,,,,
22d.005,"what,",3,,,,
22d.005,nih'eenetit,4,,,,
22d.005,Mary.,5,,,,
22d.006,Noh,1,,,,
22d.006,she,2,,,,
22d.006,went,3,,,,
22d.006,back,4,,,,
22d.006,and,5,,,,
22d.006,what,6,,,,
22d.006,she,7,,,,
22d.006,"said,",8,,,,
22d.006,she,9,,,,
22d.006,had,10,,,,
22d.006,six,11,,,,
22d.006,of,12,,,,
22d.006,them.,13,,,,
22d.007,and,1,,,,
22d.007,that,2,,,,
22d.007,other,3,,,,
22d.007,one's,4,,,,
22d.007,XXX,5,,,,
22d.008,and,1,,,,
22d.008,I,2,,,,
22d.008,loaned,3,,,,
22d.008,it,4,,,,
22d.008,"to,",5,,,,
22d.008,"uh,",6,,,,
22d.008,Veronica,7,,,,
22d.008,"Miller,",8,,,,
22d.008,neneenit,9,,,,
22d.008,nihnottoniP,10,,,,
22d.010,uhm-uhm,1,,,,
22d.011,neih'oowce'biine',1,,,,
22d.012,uhm.,1,,,,
22d.013,nihnottono',1,,,,
22d.013,'oh,2,,,,
22d.013,"wo[hei],",3,,,,
22d.013,my,4,,,,
22d.013,kids,5,,,,
22d.013,are,6,,,,
22d.013,learning,7,,,,
22d.013,from,8,,,,
22d.013,it,9,,,,
22d.013,they,10,,,,
22d.013,say.,11,,,,
22d.013,But,12,,,,
22d.013,I,13,,,,
22d.013,want,14,,,,
22d.013,them,15,,,,
22d.013,back.,16,,,,
22d.014,uhm-hmm.,1,,,,
22d.015,supposed,1,,,,
22d.015,to,2,,,,
22d.015,snow,3,,,,
22d.015,today.,4,,,,
22d.016,ketbeec?,1,,,,
22d.017,"yeah,",1,,,,
22d.017,supposed,2,,,,
22d.017,"to,",3,,,,
22d.017,nih'iit.,4,,,,
22d.018,I,1,,,,
22d.018,never,2,,,,
22d.018,did,3,,,,
22d.018,understand,4,,,,
22d.018,how,5,,,,
22d.018,you,6,,,,
22d.018,say,7,,,,
22d.018,that.,8,,,,
22d.019,heetniibeeci'.,1,,,,
22d.020,Horses,1,,,,
22d.020,niiP,2,,,,
22d.020,niinookonoo'oo3i'.,3,,,,
22d.022,oh,1,,,,
22d.022,yeah.,2,,,,
22d.023,Noh,1,,,,
22d.023,noto'oowuu',2,,,,
22d.023,nee'entoonoo.,3,,,,
22d.024,oh,1,,,,
22d.024,yeah.,2,,,,
22d.025,"Neeneti3etinoo,",1,,,,
22d.025,anything.,2,,,,
22d.027,kooP,1,,,,
22d.028,Neihoowbeetnih'oo3ouyeit.,1,,,,
22d.028,XXX,2,,,,
22d.029,koohetciibeec?,1,,,,
22d.030,'oh,1,,,,
22d.030,niiP,2,,,,
22d.030,niinousinenoo,3,,,,
22d.030,sometimes.,4,,,,
22d.031,hiitousinihiitoon.,1,,,,
22d.032,Ne'bi'cenihP,1,,,,
22d.032,then,2,,,,
22d.032,I,3,,,,
22d.032,"get,",4,,,,
22d.032,get,5,,,,
22d.032,another,6,,,,
22d.032,"one,",7,,,,
22d.032,you,8,,,,
22d.032,"know,",9,,,,
22d.032,ne'cih'eeneti3etinoo.,10,,,,
22d.033,Niice'nousinenoo,1,,,,
22d.033,on,2,,,,
22d.033,something.,3,,,,
22d.034,nohuusoho',1,,,,
22d.034,nousinen.,2,,,,
22d.035,you,1,,,,
22d.035,know,2,,,,
22d.035,that,3,,,,
22d.035,"word,",4,,,,
22d.035,howoo,5,,,,
22d.035,"wookecii,",6,,,,
22d.035,wookecii.,7,,,,
22d.036,yeah.,1,,,,
22d.037,"hoowoe'inP,",1,,,,
22d.037,"neihoowoe'in,",2,,,,
22d.037,"hinee,",3,,,,
22d.038,nihnotinowoo,1,,,,
22d.038,wookecii.,2,,,,
22d.039,oh,1,,,,
22d.039,"yeah,",2,,,,
22d.039,he'iiswonni'iitou'u.,3,,,,
22d.041,huut,1,,,,
22d.041,ne'notnoo'eininoo,2,,,,
22d.041,nootnoohootowoo.,3,,,,
22d.042,"Yeheihoo,",1,,,,
22d.042,he'iisiini,2,,,,
22d.042,nuh'uuno,3,,,,
22d.042,he'iisih'iitoonoo3i,4,,,,
22d.042,nuhu'.,5,,,,
22d.043,"3i'wookecii,",1,,,,
22d.043,nih'iit.,2,,,,
22d.043,Siinee'.,3,,,,
22d.044,nooxeihi',1,,,,
22d.044,noohowoot,2,,,,
22d.044,3ii'ookuu3i'.,3,,,,
22d.045,Wootii,1,,,,
22d.045,wooce'.....,2,,,,
22d.046,nooxeihi',1,,,,
22d.046,"kooxnoo3toowoo3eihino',",2,,,,
