ref,word,num,dep,label,dep2,label2
22e.001,Petinei3i',1,,,,
22e.001,huu3e'.,2,,,,
22e.002,yeah.,1,,,,
22e.003,Niico'onP,1,,,,
22e.003,niico'onP,2,,,,
22e.003,nehe',3,,,,
22e.003,niico'oneesneet.,4,,,,
22e.004,"niico'oneesneenei3i',",1,,,,
22e.004,Ed.,2,,,,
22e.005,NeenesP,1,,,,
22e.005,neene'P,2,,,,
22e.005,neenesneetiini',3,,,,
22e.005,koxuuteniihi'.,4,,,,
22e.006,yeah.,1,,,,
22e.008,Beebeet,1,,,,
22e.008,"cihno'koohuni',",2,,,,
22e.008,noh,3,,,,
22e.008,huut,4,,,,
22e.008,beebei'on,5,,,,
22e.008,nihwonceiteeni',6,,,,
22e.008,niiP,7,,,,
22e.008,niineniiniicie.,8,,,,
22e.009,Nihwoneenetini'.,1,,,,
22e.010,Hoo'eisee3i',1,,,,
22e.010,wonoo3ee3i',2,,,,
22e.010,3owo3neniteeno'.,3,,,,
22e.011,yeah.,1,,,,
22e.012,Nuhu',1,,,,
22e.012,hitouunenno',2,,,,
22e.012,"no'koohu3i',",3,,,,
22e.012,wo'ei3,4,,,,
22e.012,neneenini',5,,,,
22e.012,hitesiino',6,,,,
22e.013,Bi'noowunenP,1,,,,
22e.013,noowunenno',2,,,,
22e.013,ci'nih'eentoo3i'.,3,,,,
22e.014,yeah.,1,,,,
22e.015,Niiteiniini,1,,,,
22e.015,heenetini'.,2,,,,
22e.016,"Neneeninoo,",1,,,,
22e.016,nookhoosei,2,,,,
22e.016,"niibei,",3,,,,
22e.016,nih'eenetini'.,4,,,,
22e.017,Niini'inihiini'.,1,,,,
22e.018,koe'sP,1,,,,
22e.018,"koe'soh'owuunei'ee3i',",2,,,,
22e.018,"tihbee3tiiP,",3,,,,
22e.018,bee3tooni'.,4,,,,
22e.019,yeah.,1,,,,
22e.020,yeah.,1,,,,
22e.021,Ni'P,1,,,,
22e.021,ni'i3ecoonoo.,2,,,,
22e.022,yeah.,1,,,,
22e.023,"howoo,",1,,,,
22e.023,howoo,2,,,,
22e.023,nuhu',3,,,,
22e.023,hono',4,,,,
22e.023,"niibei,",5,,,,
22e.023,howoo,6,,,,
22e.023,hentoot.,7,,,,
22e.025,'oh,1,,,,
22e.025,"hih'oowkohtowuuni,",2,,,,
22e.025,"hih'oowkohtobei,",3,,,,
22e.025,wo'ei3,4,,,,
22e.025,teiitoonokut.,5,,,,
22e.026,Beebeet,1,,,,
22e.026,neniP,2,,,,
22e.026,neneeninoo,3,,,,
22e.026,noh,4,,,,
22e.026,nookhoosei,5,,,,
22e.026,niibei,6,,,,
22e.026,nih'eenetini'.,7,,,,
22e.027,Neeseh'e,1,,,,
22e.027,Icky,2,,,,
22e.027,John,3,,,,
22e.027,nohkco'oot.,4,,,,
22e.028,uhm-hmm.,1,,,,
22e.029,Beenhehe',1,,,,
22e.029,nihsi'eeP,2,,,,
22e.029,ceceecesibeit,3,,,,
22e.029,nuhu',4,,,,
22e.029,"Alonzo,",5,,,,
22e.029,Alonzo,6,,,,
22e.029,"Moss,",7,,,,
22e.029,beenhehe'.,8,,,,
22e.030,yeah.,1,,,,
22e.031,kooxhih'oowuni'eenee3ei.,1,,,,
22e.032,oh,1,,,,
22e.032,yeah.,2,,,,
22e.033,yeah.,1,,,,
22e.034,"Ceecesibeit,",1,,,,
22e.034,koohee'in?,2,,,,
22e.035,yeah.,1,,,,
22e.036,woo'teenoto'oneet.,1,,,,
22e.037,Wootii,1,,,,
22e.037,Johnny,2,,,,
22e.037,Cash,3,,,,
22e.037,nihbisiseecihciiteit.,4,,,,
22e.038,"Siihoowuuni,",1,,,,
22e.038,"hoowuuni,",2,,,,
22e.038,neniP,3,,,,
22e.038,neniniixoo3ei,4,,,,
22e.038,bi3o'uuni.,5,,,,
22e.039,Cebinouusi'.,1,,,,
22e.041,huh.,1,,,,
22e.042,yeah.,1,,,,
22e.043,ceecesoneiht.,1,,,,
22e.044,yeah.,1,,,,
22e.045,xonouu,1,,,,
22e.045,nihce'P,2,,,,
22e.045,ce'eeckoohut.,3,,,,
22e.046,hmm!,1,,,,
22e.047,'oh,1,,,,
22e.047,"neneenini',",2,,,,
22e.047,"nihneesentooni',",3,,,,
22e.047,us,4,,,,
22e.047,guys.,5,,,,
22e.047,nihwoncebiihineeni',6,,,,
22e.047,ce'iihi'.,7,,,,
22e.048,yeah.,1,,,,
22e.049,Beenhehe',1,,,,
