ref,word,num,dep,label,dep2,label2
22a.001,beni'P,1,,,,
22a.001,beene3en.,2,,,,
22a.002,"yeah,",1,,,,
22a.002,yeah.,2,,,,
22a.003,yeah.,1,,,,
22a.004,it's,1,,,,
22a.004,going.,2,,,,
22a.005,XXX,1,,,,
22a.005,"heetootousinihii3P,",2,,,,
22a.005,heetootousei'towuunoo,3,,,,
22a.005,nehe',4,,,,
22a.005,nih'oo3ousei?,5,,,,
22a.006,Heeyounii,1,,,,
22a.006,hi'iibeete'iyoo?,2,,,,
22a.007,"what,",1,,,,
22a.007,what,2,,,,
22a.007,you,3,,,,
22a.007,want,4,,,,
22a.007,us,5,,,,
22a.007,talk,6,,,,
22a.007,about?,7,,,,
22a.007,Anything?,8,,,,
22a.007,In,9,,,,
22a.007,Arapaho?,10,,,,
22a.007,It's,11,,,,
22a.007,gottabe,12,,,,
22a.007,in,13,,,,
22a.007,Arapaho?,14,,,,
22a.008,In,1,,,,
22a.008,"Arapaho,",2,,,,
22a.008,and,3,,,,
22a.008,anything.,4,,,,
22a.009,toonheesou'u,1,,,,
22a.009,nooxeihi'.,2,,,,
22a.010,what,1,,,,
22a.010,you,2,,,,
22a.010,want,3,,,,
22a.010,your,4,,,,
22a.010,children,5,,,,
22a.010,to,6,,,,
22a.010,"remember,",7,,,,
22a.010,what,8,,,,
22a.010,you,9,,,,
22a.010,"think,",10,,,,
22a.010,whathappened,11,,,,
22a.010,to,12,,,,
22a.010,you,13,,,,
22a.010,last,14,,,,
22a.010,"week,",15,,,,
22a.010,what,16,,,,
22a.010,happened,17,,,,
22a.010,when,18,,,,
22a.010,you,19,,,,
22a.010,were,20,,,,
22a.010,"little,",21,,,,
22a.011,wohei.,1,,,,
22a.012,"Wayne,",1,,,,
22a.012,was,2,,,,
22a.012,Wayne,3,,,,
22a.012,first?,4,,,,
22a.013,heetP,1,,,,
22a.014,"no,",1,,,,
22a.014,you,2,,,,
22a.014,all,3,,,,
22a.014,are.,4,,,,
22a.015,anybody.,1,,,,
22a.015,Yeah.,2,,,,
22a.015,EveryP,3,,,,
22a.015,"all,",4,,,,
22a.015,you,5,,,,
22a.015,"know,",6,,,,
22a.015,can,7,,,,
22a.015,join,8,,,,
22a.015,"in,",9,,,,
22a.015,you,10,,,,
22a.015,know.,11,,,,
22a.016,yiii.,1,,,,
22a.017,want,1,,,,
22a.017,everybody.,2,,,,
22a.018,ask,1,,,,
22a.018,each,2,,,,
22a.018,other,3,,,,
22a.018,"questions,",4,,,,
22a.018,talk,5,,,,
22a.018,to,6,,,,
22a.018,"this,",7,,,,
22a.018,talk,8,,,,
22a.018,to,9,,,,
22a.018,this,10,,,,
22a.018,"one,",11,,,,
22a.018,hisei.,12,,,,
22a.019,just,1,,,,
22a.019,talk,2,,,,
22a.019,about,3,,,,
22a.019,anything.,4,,,,
22a.020,"huutiino,",1,,,,
22a.021,beenhehe',1,,,,
22a.021,heni'oo3P,2,,,,
22a.021,hee[t]ni'oo3iteenoo.,3,,,,
22a.022,Nih'eeneisP,1,,,,
22a.022,cesisiihi',2,,,,
22a.022,nihneeneyei3eibeenoo.,3,,,,
22a.023,Huu3e',1,,,,
22a.023,teecxo',2,,,,
22a.023,wosouhone',3,,,,
22a.023,niitP,4,,,,
22a.023,nihP,5,,,,
22a.023,nihnee'eetiine'etiit,6,,,,
22a.023,neP,7,,,,
22a.023,neP,8,,,,
22a.023,nebesiibehe'.,9,,,,
22a.024,I'll,1,,,,
22a.024,bring,2,,,,
22a.024,you,3,,,,
22a.024,some,4,,,,
22a.024,milk,5,,,,
22a.024,over,6,,,,
22a.024,there.,7,,,,
22a.025,"Ahh,",1,,,,
22a.025,"bexookeesoo,",2,,,,
22a.025,nihnee'eesih'it.,3,,,,
22a.026,HokP,1,,,,
22a.026,hokeciiceihinoo.,2,,,,
22a.027,Wohei,1,,,,
22a.027,nebesiiwoo,2,,,,
22a.027,"nih'ii3o',",3,,,,
22a.027,niibeetwoniini,4,,,,
22a.027,"noonoyeinoo,",5,,,,
22a.027,nih'ii3o'.,6,,,,
22a.028,Heetnii3oone3en,1,,,,
22a.028,nih'ii3einoo.,2,,,,
22a.029,"Wohei,",1,,,,
22a.029,ne'hoowuniihiseeni'.,2,,,,
22a.030,Kohei'i.,1,,,,
22a.031,Nihniiwoh'uno',1,,,,
22a.031,wo3onohoeno.,2,,,,
22a.032,Ne'woniini...,1,,,,
22a.032,niiciihehe',2,,,,
22a.032,"ceenokut,",3,,,,
22a.032,heetiini,4,,,,
22a.032,toukoyoo',5,,,,
22a.032,wootii.,6,,,,
22a.033,"Nosounoonoyeinoo,",1,,,,
22a.033,nuhu',2,,,,
22a.033,cih'eti3einoo.,3,,,,
22a.034,Neisiihoo,1,,,,
22a.034,neheicoo,2,,,,
22a.034,nih'ii3einoo.,3,,,,
22a.035,nihnihi'koohunoo.,1,,,,
22a.036,"Heeyou,",1,,,,
22a.036,heeyou,2,,,,
22a.036,"nebesiiwoo,",3,,,,
22a.036,nih'ii3o'.,4,,,,
22a.037,NooP,1,,,,
22a.037,Noohowunee,2,,,,
22a.037,nehe',3,,,,
22a.037,wo3onisi',4,,,,
22a.037,nuhu',5,,,,
22a.037,"woP,",6,,,,
22a.037,nuhu',7,,,,
22a.037,"wo3onohoene',",8,,,,
22a.037,nuhu'.,9,,,,
22a.038,Woo3oninoo'oot.,1,,,,
22a.039,Nehe',1,,,,
22a.039,"3owo3nenitee,",2,,,,
22a.039,"nih'ii3einoo,",3,,,,
22a.039,niini'wo3onoho',4,,,,
22a.039,"hiteenetiit,",5,,,,
22a.039,nih'ii3einoo.,6,,,,
22a.040,"Nih'iineyeitiit,",1,,,,
22a.040,nih'ii3einoo.,2,,,,
22a.041,Neihoowoe'in,1,,,,
22a.041,"niitowoo3onot,",2,,,,
22a.041,'oh,3,,,,
22a.041,nooxeihi',4,,,,
22a.041,"niitowoo3onot,",5,,,,
22a.041,nih'iit,6,,,,
22a.042,"Sequoia,",1,,,,
22a.042,"nee'eesih'it,",2,,,,
22a.042,nih'iit.,3,,,,
22a.043,Teecxo',1,,,,
22a.043,ahh,2,,,,
22a.043,nuhu',3,,,,
22a.043,talking,4,,,,
22a.043,leaves.,5,,,,
22a.044,Nih'ei'towuuneinoo,1,,,,
22a.044,nebesiibehe':,2,,,,
22a.045,wohei,1,,,,
22a.045,toonhei'iihi',2,,,,
22a.045,neneenin,3,,,,
22a.045,heetniiwo3onohow,4,,,,
22a.045,nuhu',5,,,,
22a.045,heesP,6,,,,
22a.045,"heeseenetino',",7,,,,
22a.045,nih'ii3einoo.,8,,,,
22a.046,Heetwo3onoheihiinoo'.,1,,,,
22a.047,Hiiwoonhehe',1,,,,
22a.047,woow,2,,,,
22a.047,"heetP,",3,,,,
22a.047,"he'ne'cesisbeebeetiseenoo',",4,,,,
22a.047,nih'ii3einoo.,5,,,,
22a.048,Cesisiihi',1,,,,
22a.048,hiiwoonhehe',2,,,,
22a.048,nih'ii3einoo.,3,,,,
22a.049,'oh,1,,,,
22a.049,neih'oowkohtobeenP,2,,,,
22a.049,"kohtobeeneet,",3,,,,
22a.049,"neneeninoo,",4,,,,
22a.049,you,5,,,,
22a.049,know.,6,,,,
22a.050,Nih'inono'eiyeitinoo.,1,,,,
22a.051,Hei'iihi',1,,,,
22a.051,"hiisiii'oonoo,",2,,,,
22a.051,beebeetou3einoo,3,,,,
22a.051,co'ouuP,4,,,,
22a.051,"co'ouutou3eino'oowu',",5,,,,
22a.051,'oh,6,,,,
22a.051,nihwoniini,7,,,,
22a.052,nohkco'oonoo.,1,,,,
22a.053,wonbiiP,1,,,,
22a.053,beniiineniininoo.,2,,,,
22a.054,ne'ce'no'eeckoohunoo.,1,,,,
22a.055,Ne'ce3i3i3ei'inoo,1,,,,
22a.055,"huutiino,",2,,,,
22a.055,huutiino.,3,,,,
22a.056,Nuh'uuno,1,,,,
