ref,word,num,dep,label,dep2,label2
22c.001,Nehe',1,,,,
22c.001,Andy,2,,,,
22c.001,Cowell,3,,,,
22c.001,noto'oowuu',4,,,,
22c.001,nih'iiP,5,,,,
22c.001,"nih'iino'koohut,",6,,,,
22c.002,nihneyei3eiheet,1,,,,
22c.002,nuhu',2,,,,
22c.002,nihP,3,,,,
22c.002,"hiibeete'iyoo,",4,,,,
22c.002,nehe',5,,,,
22c.002,Andy.,6,,,,
22c.003,Hartwell,1,,,,
22c.003,Francis.,2,,,,
22c.004,"and,",1,,,,
22c.004,uh,2,,,,
22c.004,noonih'iitonoono',3,,,,
22c.004,nuhu',4,,,,
22c.004,"huseino',",5,,,,
22c.004,"Berkeley,",6,,,,
22c.004,you,7,,,,
22c.004,"know,",8,,,,
22c.004,from,9,,,,
22c.004,Berkeley,10,,,,
22c.004,California.,11,,,,
22c.005,Nih'iino'koohu3i',1,,,,
22c.005,neniisi3i',2,,,,
22c.005,"hiseino',",3,,,,
22c.005,nihno'koohu3i',4,,,,
22c.005,ci'.,5,,,,
22c.006,Lisa,1,,,,
22c.007,Neeyei3eihee3i'.,1,,,,
22c.008,Lisa,1,,,,
22c.008,Conathana,2,,,,
22c.009,"Noonih'inooP,",1,,,,
22c.009,noonih'i[ito]noono',2,,,,
22c.009,"hiniisih'iitooninoo,",3,,,,
22c.009,noonih'inoo,4,,,,
22c.009,hini',5,,,,
22c.009,from,6,,,,
22c.009,Berkeley.,7,,,,
22c.010,Nee'eeteihi3i',1,,,,
22c.010,hiseino',2,,,,
22c.010,"niisi3i',",3,,,,
22c.010,noonih'i[ito]noono',4,,,,
22c.010,hiP,5,,,,
22c.010,hiniisih'iitooninoo.,6,,,,
22c.011,Just,1,,,,
22c.011,made,2,,,,
22c.011,some,3,,,,
22c.011,more,4,,,,
22c.011,coffee.,5,,,,
22c.012,'oh,1,,,,
22c.012,nehe',2,,,,
22c.012,"Andy,",3,,,,
22c.013,heeyou?,1,,,,
22c.014,woo'teenoowu'.,1,,,,
22c.014,Made,2,,,,
22c.014,another,3,,,,
22c.014,one.,4,,,,
22c.015,"hee'inoneet,",1,,,,
22c.015,noh,2,,,,
22c.015,"Hartwell,",3,,,,
22c.015,Hartwell,4,,,,
22c.015,"Francis,",5,,,,
22c.015,hee'inoneet,6,,,,
22c.015,ci'.,7,,,,
22c.016,Neihoowoe'in,1,,,,
22c.016,''henino,2,,,,
22c.016,heet,3,,,,
22c.016,"ci''',",4,,,,
22c.016,"neihoowoe'in,",5,,,,
22c.016,what's,6,,,,
22c.016,it,7,,,,
22c.016,mean?,8,,,,
22c.017,Neninee,1,,,,
22c.017,ci'.,2,,,,
22c.018,Can,1,,,,
22c.018,you,2,,,,
22c.018,tell,3,,,,
22c.018,me?,4,,,,
22c.018,in,5,,,,
22c.018,nih'oo3ouyeitiit.,6,,,,
22c.019,huh?,1,,,,
22c.020,Can,1,,,,
22c.020,you,2,,,,
22c.020,tell,3,,,,
22c.020,me,4,,,,
22c.020,in,5,,,,
22c.020,English,6,,,,
22c.020,about,7,,,,
22c.020,Hartwell?,8,,,,
22c.021,"Hartwell,",1,,,,
22c.021,in,2,,,,
22c.021,English?,3,,,,
22c.022,uhm-hmm.,1,,,,
22c.023,Well,1,,,,
22c.023,"he,",2,,,,
22c.023,he,3,,,,
22c.023,used,4,,,,
22c.023,"to,",5,,,,
22c.023,used,6,,,,
22c.023,to,7,,,,
22c.023,come,8,,,,
22c.023,over,9,,,,
22c.023,and,10,,,,
22c.023,learn,11,,,,
22c.023,from,12,,,,
22c.023,different,13,,,,
22c.023,people.That´s,14,,,,
22c.023,what,15,,,,
22c.023,Andy,16,,,,
22c.023,done,17,,,,
22c.023,too.,18,,,,
22c.024,uhm.,1,,,,
22c.025,He,1,,,,
22c.025,didn't,2,,,,
22c.025,go,3,,,,
22c.025,to,4,,,,
22c.025,just,5,,,,
22c.025,our,6,,,,
22c.025,place.,7,,,,
22c.025,He,8,,,,
22c.025,was,9,,,,
22c.025,over,10,,,,
22c.025,"to,",11,,,,
22c.025,"uh,",12,,,,
22c.025,probably,13,,,,
22c.025,Wayne'shouse.,14,,,,
22c.025,"And,",15,,,,
22c.025,"uh,",16,,,,
22c.025,Icky,17,,,,
22c.025,John.,18,,,,
22c.025,You,19,,,,
22c.025,know,20,,,,
22c.025,his,21,,,,
22c.025,brother,22,,,,
22c.025,Icky,23,,,,
22c.025,John,24,,,,
22c.025,'innit.,25,,,,
22c.026,uhm.,1,,,,
